"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Korea, Rep.,""KOR"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""3.41404008865356"",""3.73918008804321"",""3.22075009346008"",""2.68021988868713"","""",""2.08925008773804"",""2.75457000732422"",""2.42641997337341"","""",""3.01883006095886"",""3.45873999595642"",""2.89862990379334"",""6.32966995239258"",""4.31538009643555"",""4.00532007217407"",""3.98644995689392"",""3.63594007492065"",""3.37423992156982"",""2.74737000465393"",""3.06262993812561"",""3.03873991966248"",""3.48924994468689"",""3.57788991928101"",""3.69697999954224"",""3.01831007003784"",""2.93543004989624"","""","""",""3.36813998222351"",""3.3692901134491"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.33309984207153"","""","""","""","""","
"Luxembourg,""LUX"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""2.22194004058838"",""2.7578399181366"",""2.64748001098633"",""2.71658992767334"","""",""3.30646991729736"",""3.49154996871948"",""3.56803011894226"",""4.19157981872559"",""4.25287008285522"",""4.39701986312866"",""4.52835988998413"",""5.09598016738892"",""3.20664000511169"","""","""",""3.66076993942261"",""3.94400000572205"",""3.87762999534607"",""3.74053001403809"","""","""","""","""","""",""3.53449010848999"",""3.33611011505127"","""","""","""","""",""3.55579996109009"","""","""","""","""","""","""","""","""","""","""",""4.09041023254395"","""",""4.00789022445679"",""3.91820001602173"","""",""3.56959009170532"","""","""","""","
"Malta,""MLT"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""",""6.15196990966797"",""5.54999017715454"",""5.269700050354"",""4.4931001663208"",""4.42221021652222"",""3.83189010620117"",""3.89760994911194"",""3.34882998466492"",""3.15364003181458"","""",""2.86532998085022"",""2.85407996177673"",""3.31469011306763"",""3.07872009277344"",""3.24833989143372"",""3.10572004318237"",""3.16531991958618"",""3.33823990821838"",""3.58874011039734"",""3.83141994476318"",""3.92030000686646"",""4.31409978866577"","""","""","""","""","""",""4.27743005752563"","""","""","""",""4.14625978469849"","""",""4.47433996200562"","""","""",""5.98134994506836"",""5.57061004638672"",""5.17037010192871"",""6.45488977432251"",""7.79612016677856"",""6.52242994308472"",""7.87614011764526"",""7.20494985580444"",""5.21635007858276"",""5.2075400352478"",""4.82437992095947"","""","""","""","
"Mauritania,""MRT"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.58580005168915"","""",""1.72203004360199"","""",""2.10683989524841"",""2.27714991569519"",""2.36501002311707"",""1.9507999420166"","""",""1.95851004123688"","""","""","""","""",""2.33102011680603"",""2.15821003913879"",""2.29354000091553"","""","""",""1.94405996799469"","""","""",""1.89546000957489"","""","
"Netherlands,""NLD"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""6.22114992141724"",""6.32819986343384"",""6.31849002838135"",""5.84294986724854"",""6.33588981628418"",""6.37166023254395"",""6.31229019165039"",""6.1825098991394"",""6.18442010879517"",""6.09033012390137"",""5.89279985427856"",""5.74937009811401"",""5.6950101852417"",""5.50079011917114"",""5.09010982513428"",""5.4728798866272"",""5.56155014038086"",""5.89792013168335"",""5.47145986557007"","""",""5.22878980636597"",""5.16165018081665"","""",""4.75660991668701"",""4.66324996948242"",""4.57887983322144"",""4.49419021606445"","""",""4.54056978225708"",""4.50699996948242"",""4.58512020111084"",""4.69964981079102"",""4.80590009689331"",""5.0404200553894"",""5.06297016143799"",""5.10939979553223"",""5.04402017593384"",""4.88682985305786"",""5.02904987335205"",""5.43156003952026"",""5.48908996582031"",""5.46303987503052"",""5.4102201461792"",""5.52655982971191"",""5.458899974823"",""5.34815979003906"",""5.47959995269775"",""5.17509984970093"","""","""","""","
"New Zealand,""NZL"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.75323009490967"",""4.7467999458313"",""5.16753005981445"",""5.45474004745483"",""4.45267009735107"",""4.53252983093262"",""4.46765995025635"",""4.23264980316162"",""4.44054985046387"",""4.5327000617981"","""",""4.04568004608154"",""3.54629993438721"",""3.43031001091003"",""3.91739010810852"",""4.4258599281311"",""4.81824016571045"","""","""","""","""",""5.92605018615723"",""5.74212980270386"",""6.38371992111206"",""6.15721988677979"","""",""6.6362099647522"","""",""6.56049013137817"",""6.40699005126953"",""6.43753004074097"",""6.51203012466431"",""6.27896022796631"",""5.95276021957397"",""5.91593980789185"",""5.50616979598999"",""6.28067016601563"",""7.00128984451294"",""6.93487977981567"",""7.15062999725342"",""6.69997978210449"",""6.34444999694824"",""6.33738994598389"",""6.43335008621216"",""6.28366994857788"","""","""","""","
"Norway,""NOR"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""",""5.90405988693237"",""5.89171981811523"",""5.67365980148315"",""5.55022001266479"",""6.16359996795654"",""5.97280979156494"",""6.44434976577759"","""",""5.78014993667603"",""5.54364013671875"",""5.6788501739502"",""5.64629983901978"",""5.42936992645264"",""5.25567007064819"",""5.53983020782471"",""5.78807020187378"",""5.86597013473511"",""6.29986000061035"",""6.31037998199463"",""6.37321996688843"",""6.63613986968994"",""7.67664003372192"",""7.83043003082275"",""7.69568014144897"",""7.1380500793457"",""7.30343008041382"",""7.36077976226807"",""6.96647977828979"",""6.46726989746094"",""6.83062982559204"",""7.43729019165039"",""7.41635990142822"",""7.2982702255249"",""6.86506986618042"",""6.3827600479126"",""6.53439998626709"",""6.2852201461792"",""7.10337018966675"",""6.74633979797363"",""6.4545202255249"",""7.37470006942749"",""7.48535013198853"",""7.69504022598267"",""7.5693302154541"",""8.03055000305176"",""7.91198015213013"","""","""","""","
"Portugal,""PRT"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.63391995429993"",""1.93535995483398"",""3.06245994567871"",""3.07873010635376"","""",""2.90048003196716"",""2.69930005073547"",""3.06743001937866"",""3.18575000762939"",""3.32909989356995"",""3.23281002044678"",""3.14253997802734"",""3.26249003410339"",""3.04924988746643"",""3.15797996520996"",""3.38753008842468"",""3.47523999214172"",""3.56972002983093"",""4.07133007049561"",""4.33747005462646"",""4.84095001220703"",""4.67129993438721"",""4.61330986022949"",""5.065110206604"","""","""",""5.0468602180481"",""5.16384983062744"",""5.33713006973267"",""5.25871992111206"",""5.28152990341187"",""5.04638004302979"",""5.07394981384277"",""4.90767002105713"",""4.92147016525269"",""4.69609022140503"",""5.56314992904663"",""5.41248989105225"",""5.12333011627197"",""4.94940996170044"",""5.2709698677063"",""5.12400007247925"",""4.88554000854492"","""",""5.0156102180481"","""","""","""","
"Spain,""ESP"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""1.83300995826721"",""1.889279961586"",""2.06465005874634"","""",""1.45956003665924"","""",""1.89938998222351"",""2.07716989517212"",""2.2307300567627"",""2.33804988861084"","""","""","""","""","""","""","""",""3.12818002700806"",""3.32829999923706"",""3.55177998542786"",""3.63358998298645"",""3.74235010147095"",""3.83716011047363"",""4.2448902130127"",""4.48468017578125"",""4.43462991714478"",""4.45745992660522"","""",""4.28785991668701"",""4.2604398727417"",""4.16604995727539"",""4.1112699508667"",""4.13457012176514"",""4.1734299659729"",""4.15785980224609"",""4.14432001113892"",""4.1848201751709"",""4.25404977798462"",""4.52805995941162"",""4.91200017929077"",""4.85608005523682"",""4.8969202041626"",""4.4693398475647"",""4.35101985931396"",""4.30338001251221"",""4.28657007217407"",""4.22764015197754"",""4.20773983001709"","""","""","""","
"Sweden,""SWE"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6.37237977981567"",""6.53704977035522"",""6.78119993209839"","""","""","""","""","""","""","""","""",""5.2121901512146"",""5.4438099861145"",""5.25850009918213"",""5.50703001022339"","""",""6.14813995361328"",""6.83862018585205"","""",""7.06125020980835"",""6.84873008728027"",""6.740149974823"",""6.61764001846313"",""6.92434978485107"",""6.79142999649048"",""6.66310977935791"",""6.5064001083374"",""6.36429023742676"",""6.17158985137939"",""6.34455013275146"",""6.74971008300781"",""6.52268981933594"",""6.36691999435425"",""7.5369701385498"",""7.61120986938477"",""7.57372999191284"",""7.4439001083374"",""7.61861991882324"",""7.56883001327515"","""","""","""","
