"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Japan,""JPN"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""36.728"",""35.787"",""34.856"",""33.936"",""33.028"",""32.134"",""31.296"",""30.484"",""29.684"",""28.898"",""28.123"",""27.334"",""26.548"",""25.78"",""25.025"",""24.284"",""24.056"",""23.998"",""23.94"",""23.882"",""23.825"",""23.727"",""23.617"",""23.507"",""23.397"",""23.288"",""23.165"",""23.038"",""22.912"",""22.787"",""22.661"",""22.527"",""22.39"",""22.254"",""22.119"",""21.984"",""21.855"",""21.728"",""21.602"",""21.477"",""21.351"",""20.01"",""18.353"",""16.804"",""15.36"",""14.022"",""12.882"",""11.854"",""10.897"",""10.011"",""9.188"",""8.931"",""8.852"",""8.774"",""8.696"",""8.619"",""8.54300000000001"",""8.465"",""8.384"",""8.30200000000001"","""","
"Korea, Rep.,""KOR"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""72.29"",""71.469"",""70.539"",""69.593"",""68.628"",""67.649"",""66.653"",""65.029"",""63.154"",""61.244"",""59.296"",""57.739"",""56.308"",""54.869"",""53.421"",""51.967"",""50.281"",""48.524"",""46.767"",""45.019"",""43.28"",""41.593"",""39.939"",""38.307"",""36.699"",""35.124"",""33.321"",""31.437"",""29.611"",""27.852"",""26.156"",""25.028"",""24.18"",""23.355"",""22.548"",""21.761"",""21.338"",""21.095"",""20.855"",""20.616"",""20.379"",""20.06"",""19.701"",""19.348"",""18.998"",""18.655"",""18.472"",""18.369"",""18.267"",""18.165"",""18.064"",""18.077"",""18.149"",""18.221"",""18.293"",""18.366"",""18.438"",""18.497"",""18.541"",""18.57"","""","
"Luxembourg,""LUX"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""30.444"",""30.073"",""29.557"",""29.047"",""28.541"",""28.042"",""27.548"",""27.059"",""26.575"",""26.098"",""25.626"",""25.084"",""24.472"",""23.873"",""23.283"",""22.703"",""22.133"",""21.574"",""21.025"",""20.487"",""19.958"",""19.556"",""19.499"",""19.443"",""19.387"",""19.331"",""19.275"",""19.22"",""19.164"",""19.109"",""19.053"",""18.87"",""18.472"",""18.143"",""17.518"",""17.107"",""17.175"",""17.221"",""17.107"",""16.552"",""15.784"",""15.157"",""14.701"",""14.257"",""13.823"",""13.402"",""12.991"",""12.591"",""12.2"",""11.822"",""11.453"",""11.094"",""10.751"",""10.426"",""10.116"",""9.821"",""9.54000000000001"",""9.273"",""9.01900000000001"",""8.777"","""","
"Malta,""MLT"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""9.871"",""9.931"",""9.992"",""10.052"",""10.114"",""10.175"",""10.236"",""10.298"",""10.318"",""10.31"",""10.301"",""10.292"",""10.284"",""10.275"",""10.266"",""10.258"",""10.249"",""10.24"",""10.232"",""10.223"",""10.215"",""10.206"",""10.197"",""10.189"",""10.18"",""10.172"",""10.093"",""9.97199999999999"",""9.85299999999999"",""9.735"",""9.619"",""9.503"",""9.389"",""9.277"",""9.16500000000001"",""9.054"",""8.819"",""8.508"",""8.20699999999999"",""7.91500000000001"",""7.63200000000001"",""7.35899999999999"",""7.095"",""6.84"",""6.593"",""6.355"",""6.21599999999999"",""6.143"",""6.071"",""5.999"",""5.928"",""5.85899999999999"",""5.789"",""5.721"",""5.65300000000001"",""5.586"",""5.52"",""5.45399999999999"",""5.38800000000001"",""5.322"","""","
"Mauritania,""MRT"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""93.12"",""92.565"",""91.969"",""91.329"",""90.643"",""89.91"",""89.126"",""88.288"",""87.394"",""86.446"",""85.436"",""84.364"",""83.227"",""82.029"",""80.763"",""79.431"",""78.029"",""76.673"",""75.373"",""74.025"",""72.629"",""71.19"",""69.705"",""68.178"",""66.609"",""65.006"",""63.366"",""61.695"",""60.43"",""60.553"",""60.677"",""60.801"",""60.925"",""61.048"",""61.171"",""61.295"",""61.418"",""61.541"",""61.663"",""61.786"",""61.909"",""61.384"",""60.52"",""59.649"",""58.771"",""57.889"",""57.002"",""56.11"",""55.212"",""54.314"",""53.412"",""52.507"",""51.6"",""50.694"",""49.797"",""48.911"",""48.038"",""47.176"",""46.328"",""45.493"","""","
"Netherlands,""NLD"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""40.248"",""39.98"",""39.796"",""39.613"",""39.43"",""39.247"",""39.064"",""38.882"",""38.7"",""38.519"",""38.337"",""38.087"",""37.768"",""37.45"",""37.133"",""36.817"",""36.502"",""36.189"",""35.877"",""35.565"",""35.255"",""34.896"",""34.489"",""34.084"",""33.681"",""33.281"",""32.883"",""32.487"",""32.094"",""31.704"",""31.316"",""30.671"",""29.777"",""28.9"",""28.038"",""27.191"",""26.36"",""25.547"",""24.75"",""23.97"",""23.205"",""22.17"",""20.887"",""19.659"",""18.486"",""17.37"",""16.364"",""15.461"",""14.598"",""13.712"",""12.866"",""12.121"",""11.412"",""10.813"",""10.31"",""9.827"",""9.36499999999999"",""8.923"",""8.51000000000001"",""8.124"","""","
"New Zealand,""NZL"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""24.002"",""23.475"",""22.867"",""22.27"",""21.683"",""21.109"",""20.579"",""20.148"",""19.723"",""19.305"",""18.894"",""18.509"",""18.181"",""17.859"",""17.54"",""17.226"",""16.972"",""16.872"",""16.771"",""16.672"",""16.572"",""16.489"",""16.448"",""16.408"",""16.367"",""16.327"",""16.22"",""15.975"",""15.732"",""15.494"",""15.258"",""15.05"",""14.897"",""14.746"",""14.596"",""14.447"",""14.3"",""14.219"",""14.139"",""14.059"",""13.979"",""13.9"",""13.839"",""13.779"",""13.719"",""13.659"",""13.6"",""13.66"",""13.72"",""13.78"",""13.84"",""13.9"",""13.839"",""13.779"",""13.719"",""13.659"",""13.6"",""13.534"",""13.462"",""13.385"","""","
"Norway,""NOR"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""50.08"",""49.002"",""47.347"",""45.698"",""44.056"",""42.432"",""40.821"",""39.23"",""37.66"",""36.119"",""34.604"",""33.77"",""33.275"",""32.784"",""32.297"",""31.813"",""31.333"",""30.858"",""30.386"",""29.919"",""29.455"",""29.213"",""29.082"",""28.951"",""28.82"",""28.69"",""28.56"",""28.43"",""28.301"",""28.172"",""28.044"",""27.735"",""27.335"",""26.939"",""26.547"",""26.213"",""25.938"",""25.524"",""24.973"",""24.431"",""23.98"",""23.622"",""23.267"",""22.916"",""22.601"",""22.325"",""22.05"",""21.766"",""21.474"",""21.185"",""20.898"",""20.545"",""20.126"",""19.714"",""19.308"",""18.909"",""18.515"",""18.129"",""17.752"",""17.384"","""","
"Portugal,""PRT"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""65.045"",""64.656"",""64.278"",""63.899"",""63.517"",""63.134"",""62.75"",""62.364"",""61.975"",""61.586"",""61.196"",""60.803"",""60.409"",""60.015"",""59.618"",""59.221"",""58.821"",""58.422"",""58.021"",""57.619"",""57.215"",""56.779"",""56.262"",""55.743"",""55.223"",""54.702"",""54.18"",""53.658"",""53.133"",""52.609"",""52.085"",""51.531"",""50.87"",""50.211"",""49.551"",""48.891"",""48.23"",""47.572"",""46.914"",""46.257"",""45.601"",""44.956"",""44.334"",""43.713"",""43.093"",""42.478"",""41.863"",""41.251"",""40.641"",""40.036"",""39.433"",""38.833"",""38.237"",""37.648"",""37.064"",""36.486"",""35.914"",""35.348"",""34.789"",""34.236"","""","
"Spain,""ESP"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""43.433"",""42.697"",""41.692"",""40.694"",""39.702"",""38.722"",""37.749"",""36.786"",""35.832"",""34.892"",""33.962"",""33.152"",""32.459"",""31.776"",""31.099"",""30.43"",""29.769"",""29.117"",""28.473"",""27.838"",""27.211"",""26.721"",""26.485"",""26.251"",""26.018"",""25.787"",""25.556"",""25.327"",""25.1"",""24.874"",""24.649"",""24.472"",""24.39"",""24.308"",""24.226"",""24.144"",""24.062"",""23.981"",""23.9"",""23.819"",""23.738"",""23.657"",""23.467"",""23.222"",""22.978"",""22.737"",""22.498"",""22.26"",""22.024"",""21.79"",""21.558"",""21.327"",""21.098"",""20.867"",""20.634"",""20.398"",""20.16"",""19.92"",""19.679"",""19.435"","""","
